75	80	1.045205	0.200445
80	85	1.019821	0.275895
85	90	1.397524	0.682354
90	95	1.065246	0.301849
95	100	0.964259	0.339457
100	105	0.949840	0.591574
# END HISTOGRAM

# BEGIN HISTOGRAM acptsum
ErrorBars=1
PolyMarker=*
Title=Away Region Charged pT Sum Density dpT/deta dphi
0	5	0.503964	0.026732
5	10	0.766552	0.020690
10	15	1.123970	0.023129
15	20	1.561561	0.030258
20	25	1.991468	0.049226
25	30	2.455421	0.066199
30	35	2.871668	0.097360
35	40	3.521657	0.129639
40	45	3.747978	0.161109
45	50	4.288922	0.217157
50	55	5.013341	0.282533
55	60	5.282832	0.316149
60	65	6.353579	0.430070
65	70	6.463940	0.519645
70	75	7.199237	0.647034
75	80	8.084126	0.689625
80	85	7.822572	0.842208
85	90	8.871269	0.943415
90	95	8.961243	0.999887
95	100	9.224807	1.339177
100	105	10.333473	1.391259
# END HISTOGRAM



# BEGIN HISTOGRAM tcptave
ErrorBars=1
PolyMarker=*
Title=Toward Region Charged pT Average (NChg > 0)
0	5	0.942920	0.010347
5	10	0.957821	0.009455
10	15	0.978690	0.013970
15	20	1.002354	0.024249
20	25	1.002652	0.020747
25	30	1.039480	0.034117
30	35	1.045658	0.040552
35	40	1.050227	0.045811
40	45	1.085569	0.068193
45	50	1.032854	0.061636
50	55	1.043821	0.064184
55	60	1.077190	0.090518
60	65	1.143274	0.164692
65	70	1.052164	0.081390
70	75	1.162199	0.135052
75	80	1.270377	0.213488
80	85	1.016374	0.145131
85	90	1.061849	0.152390
90	95	1.084684	0.120498
95	100	1.319521	0.302968
100	105	1.062904	0.170974
# END HISTOGRAM

# BEGIN HISTOGRAM pcptave
ErrorBars=1
PolyMarker=*
Title=Transverse Region Charged pT Average (NChg > 0)
0	5	0.952712	0.011791
5	10	0.970366	0.009662
10	15	1.011766	0.017255
15	20	1.046955	0.036947
20	25	1.075136	0.026528
25	30	1.097802	0.039010
30	35	1.108638	0.035109
35	40	1.137858	0.043246
40	45	1.138456	0.055729
45	50	1.171478	0.064099
50	55	1.173897	0.072409
55	60	1.264630	0.105895
60	65	1.168267	0.095247
65	70	1.407905	0.151252
70	75	1.437830	0.211189
75	80	1.286938	0.181684
80	85	1.308701	0.165921
85	90	1.333445	0.248980
90	95	1.329898	0.178895
95	100	1.239839	0.204424
100	105	1.374586	0.458860
# END HISTOGRAM

# BEGIN HISTOGRAM acptave
ErrorBars=1
PolyMarker=*
Title=Away Region Charged pT Average (NChg > 0)
0	5	0.972854	0.007807
5	10	1.096408	0.011040
10	15	1.274448	0.013951
15	20	1.450075	0.022888
20	25	1.640733	0.031163
25	30	1.800282	0.043165
30	35	1.936672	0.053106
35	40	2.197993	0.087344
40	45	2.259832	0.095033
45	50	2.535422	0.180671
50	55	2.686977	0.165577
55	60	2.769508	0.155195
60	65	3.055041	0.240297
65	70	3.269749	0.354858
70	75	3.243013	0.316453
75	80	3.430384	0.319801
80	85	3.338057	0.333643
85	90	3.968104	0.475730
90	95	4.017260	0.627525
95	100	3.665207	0.463802
100	105	4.022412	0.577450
# END HISTOGRAM


# BEGIN HISTOGRAM tcptmax
ErrorBars=1
PolyMarker=*
Title=Toward Region Charged pT Maximum (NChg > 0)
0	5	1.227000	0.016739
5	10	1.273539	0.020312
10	15	1.318452	0.027037
15	20	1.361147	0.036436
20	25	1.392182	0.048555
25	30	1.484058	0.074777
30	35	1.511247	0.131478
35	40	1.536801	0.098352
40	45	1.646143	0.135715
45	50	1.662275	0.213349
50	55	1.529371	0.129940
55	60	1.580243	0.192172
60	65	1.836836	0.385076
65	70	1.539714	0.206126
70	75	1.921855	0.519544
75	80	1.993786	0.444879
80	85	1.607080	0.454638
85	90	1.733395	0.465188
90	95	1.600913	0.222841
95	100	2.685327	2.224155
100	105	1.664385	0.497761
# END HISTOGRAM

# BEGIN HISTOGRAM pcptmax
ErrorBars=1
PolyMarker=*
Title=Transverse Region Charged pT Maximum (NChg > 0)
0	5	1.262674	0.015650
5	10	1.300176	0.015294
10	15	1.415074	0.024638
15	20	1.512144	0.073520
20	25	1.574819	0.047472
25	30	1.688951	0.081165
30	35	1.741605	0.109153
35	40	1.831015	0.110954
40	45	1.916095	0.201437
45	50	1.976638	0.223394
50	55	1.981900	0.205962
55	60	2.145778	0.292856
60	65	2.046845	0.258718
65	70	2.690952	0.456708
70	75	2.654671	0.590398
75	80	2.216153	0.369450
80	85	2.541847	0.772471
85	90	3.016450	1.427711
90	95	2.357462	0.482686
95	100	2.241368	0.734954
100	105	2.650619	1.521674
# END HISTOGRAM

# BEGIN HISTOGRAM acptmax
ErrorBars=1
PolyMarker=*
Title=Away Region Charged pT Maximum (NChg > 0)
0	5	1.322542	0.015296
5	10	1.644414	0.019729
10	15	2.173066	0.030896
15	20	2.793942	0.050816
20	25	3.497482	0.094216
25	30	4.119750	0.119440
30	35	4.854479	0.197190
35	40	5.867652	0.252147
40	45	6.132900	0.296865
45	50	6.965254	0.429786
50	55	8.136935	0.556739
55	60	8.516515	0.626070
60	65	10.008007	0.956904
65	70	10.887181	1.325528
70	75	11.167084	1.372396
75	80	12.251128	1.288296
80	85	12.040928	1.646702
85	90	13.631025	1.853732
90	95	14.789027	2.205194
95	100	14.591492	2.626748
100	105	15.557907	3.416999
# END HISTOGRAM

